crop,N,P,K,ph,humidity,temperature,rainfall,zone,variety
manioc,99.52024238352463,37.825925957646184,185.1301631551218,6.758516901801782,78.06196208404613,27.13261012938201,1852.5439791725391,foret_humide,
manioc,55.67378134815347,36.18862017452654,118.61765837093493,5.829005854187621,79.05523808213894,28.621439165897076,1617.2476186345818,foret_humide,
manioc,117.63153850290198,46.97475291386764,142.26248561914295,6.160946200934379,80.81133706859802,26.8426937085038,1658.9869580655904,foret_humide,
manioc,91.83912963228194,44.931080034470085,111.91824147682738,6.236663248105266,79.81559114912126,27.436994832699646,1521.823553859196,foret_humide,
manioc,99.50095691558424,50.82700509664015,136.88928781859667,6.30427009992839,81.83357245950349,29.353666425791566,1947.9023603268768,foret_humide,
manioc,103.4548964236928,44.209308546256054,169.59562502247894,6.082906229543741,82.19211931367249,28.751004564170564,1768.9210722978955,foret_humide,
manioc,102.51251979274836,54.67957941322773,144.99186657321664,6.163624424573191,76.0739146544837,28.76996214411811,1697.9792461124293,foret_humide,
manioc,69.58757608620455,29.588889010230712,135.21377010993223,6.216117865547898,75.22879649522052,26.935735618042074,1885.930661749562,foret_humide,
manioc,107.42385151043128,48.03228500780971,144.04995388948691,5.724760077677749,72.89291446997653,25.40626468410077,1732.6220414949364,foret_humide,
manioc,95.76300647948268,33.876424389352934,81.76049996478378,5.89242529950738,83.16878563210847,29.040955540456174,1908.9878725585015,foret_humide,
manioc,100.87751907456182,48.74074314903626,146.41575114071324,6.468390744631907,82.85457041948472,26.402951390145958,1976.1579877389618,foret_humide,
manioc,109.45098954039153,32.4926042263769,114.0814028736381,6.252418983005635,73.89596727671716,28.60547873862231,1778.5915193511746,foret_humide,
manioc,93.61950679614066,40.438604964945135,91.89791341997537,6.271711312385355,82.6105288515469,27.004636859496497,1953.378013574143,foret_humide,
manioc,90.28181646939211,42.66665210152403,115.82994221013689,6.559240743984667,79.301308110383,25.615990834921888,1782.567981892572,foret_humide,
manioc,96.1629722811025,38.6429817562798,93.3138061629632,6.228602010100095,79.77182837663044,29.6393110449396,1951.2745201666103,foret_humide,
manioc,94.40074205403118,33.078403399310005,115.77694614005986,6.154389943537774,78.32334964581305,27.981043465122596,1585.3179236025314,foret_humide,
manioc,80.82502308828201,49.96938373326904,100.06721222299373,6.169714658371316,77.5480825013201,28.62945791722595,1601.508477752607,foret_humide,
manioc,102.78809608398693,24.686595735424113,147.71833320324072,5.660828009788751,71.1631962928096,24.9993733889687,1644.9108278461522,foret_humide,
manioc,76.24922307046361,47.26060990000321,159.73818853652585,6.159687182861015,73.7815935337157,25.562256685569835,1758.1694781790252,foret_humide,
manioc,79.24582330361974,55.9609921151479,136.76621896188468,6.0865145929473154,83.88860039003224,28.858692869956595,1975.4677354433493,foret_humide,
manioc,71.94801452837858,43.52655229568029,139.87955667262264,6.643297352842664,79.8546504949707,26.37548186477689,1730.1778123136996,foret_humide,
manioc,81.29975170841705,26.0083721510975,84.5562137515146,6.117362537990912,69.25178925402356,23.856002954419953,1775.991181423129,foret_humide,
manioc,66.79241588388976,45.30203918158975,147.3881091290081,6.734101717742637,78.71136022922487,27.889445671384212,1659.8455878598722,foret_humide,
manioc,87.93309612104751,27.91113748634701,134.5174022937944,6.291008568981503,66.23258788295335,24.748085844151646,1723.7293103817376,foret_humide,
manioc,82.5102514362345,45.310414037641564,132.81623178561807,6.132963613482767,81.9643890480689,26.361172072906594,1492.8684385490685,foret_humide,
manioc,88.45484601695046,49.645910221585495,143.35927766255028,6.125698923604753,78.07192750113316,25.672470790793483,1905.661300252686,foret_humide,
manioc,61.64045843810429,25.333769733546617,156.8095819900969,5.714657803417812,72.9575020724392,28.33522405113424,1740.5372667868733,foret_humide,
manioc,102.08522783503344,43.4602467858642,111.1412725979832,6.673534114263945,80.41286203098409,28.48389315861805,1561.548098463179,foret_humide,
manioc,112.7582106881578,42.505130384226554,84.35830778984688,6.533668940179577,75.01021939262222,26.526286048565684,1875.3552076863386,foret_humide,
manioc,116.50965027326183,37.68192573163347,154.20415713614872,6.292195380148507,77.24521254776914,27.907678407553313,1869.111187444407,foret_humide,
manioc,72.87743726924666,25.470886394203006,141.8015981543782,6.183777357089551,74.0925185447626,28.53471653300508,1996.8462422057437,foret_humide,
manioc,90.09233267283528,32.522968085759814,150.17522972146998,6.302661651886167,76.08324571018292,28.075150821121714,1673.5947876373968,foret_humide,
manioc,95.54003701034027,42.33375606337001,126.21434462502211,6.278908461356948,70.63656527956881,26.789921869068905,1838.5349490859016,foret_humide,
manioc,118.55099498093124,36.15194047667814,141.57677395189808,5.620051022012006,73.7948958479511,26.400424336662148,1641.4251348433374,foret_humide,
manioc,93.20764007083474,50.688791564412284,176.683189168191,5.598130853814172,81.39584508379158,26.65572643743978,1472.0899709225164,foret_humide,
manioc,81.81798920119883,36.961125901168785,136.8545210910356,6.272743697608557,79.70031387317485,26.787782967993,1945.1504708396421,foret_humide,
manioc,80.01922646458819,39.44580645024784,143.0173711777866,6.452519463091948,77.30402748463088,26.51424828662567,1769.536685073489,foret_humide,
manioc,92.74559716685923,46.961615235527766,163.2441737818893,6.395314881756492,80.18788546730495,24.580124080658543,1883.8230301366161,foret_humide,
manioc,95.0928316082717,36.61544419440804,106.05658612827528,5.945610543179546,78.08109933292923,27.210273423980688,1443.7542332329137,foret_humide,
manioc,112.09856912279957,36.23737898024446,162.25495596030635,6.2989633325592855,78.94877296581099,29.08077073945649,1873.3148318469327,foret_humide,
manioc,100.02436720010819,35.640390323698725,161.8647913943892,6.533654063779423,79.01767467009736,27.249740450951,1636.5144902232462,foret_humide,
